weather,count,accuracy,precision,recall,f1
Cloudy,337,0.9970326409495549,1.0,0.9925925925925926,0.9962825278810409
Rainy,165,0.9757575757575757,1.0,0.963302752293578,0.9813084112149533
Sunny,498,0.9799196787148594,0.9770992366412213,0.9846153846153847,0.9808429118773946
