site,count,accuracy,precision,recall,f1
PUC,609,0.9917898193760263,0.9965397923875432,0.9863013698630136,0.9913941480206541
UFPR04,148,0.9797297297297297,0.9696969696969697,0.9846153846153847,0.9770992366412213
UFPR05,243,0.9711934156378601,0.9794520547945206,0.9727891156462585,0.9761092150170648
