site,count,accuracy,precision,recall,f1
PUC,274,0.9927007299270073,0.984251968503937,1.0,0.9920634920634921
UFPR04,69,0.9565217391304348,0.9354838709677419,0.9666666666666667,0.9508196721311475
UFPR05,107,0.9906542056074766,0.984375,1.0,0.9921259842519685
